,Date,Offline Spend,Online Spend,Revenue,Total Spending
0,2017-01-01,4500,2424.5,5112.21,6924.5
1,2017-01-02,4500,3480.36,7831.189999999999,7980.360000000001
2,2017-01-03,4500,1576.38,11076.019999999999,6076.38
3,2017-01-04,4500,2928.55,10049.539999999999,7428.55
4,2017-01-05,4500,4055.3,13404.209999999994,8555.3
5,2017-01-06,4500,3796.85,9501.439999999997,8296.85
6,2017-01-07,4500,2579.52,3429.629999999999,7079.52
7,2017-01-08,5000,2551.38,4679.639999999999,7551.38
8,2017-01-09,5000,3287.83,12489.68,8287.83
9,2017-01-10,5000,515.44,10376.78,5515.4400000000005
10,2017-01-11,5000,1757.58,8196.29,6757.58
11,2017-01-12,5000,2435.97,8022.700000000001,7435.969999999999
12,2017-01-13,5000,2449.65,8918.4,7449.65
13,2017-01-14,5000,1920.57,2420.04,6920.57
14,2017-01-15,3000,1734.68,5616.5199999999995,4734.68
15,2017-01-16,3000,3727.61,6985.7,6727.610000000001
16,2017-01-17,3000,417.73,9898.01,3417.73
17,2017-01-18,3000,1312.5,14064.32,4312.5
18,2017-01-19,3000,2753.56,7100.699999999999,5753.5599999999995
19,2017-01-20,3000,2073.51,7308.98,5073.51
20,2017-01-21,3000,640.93,4223.52,3640.93
21,2017-01-22,1000,1049.73,6194.08,2049.73
22,2017-01-23,1000,1356.59,7351.359999999998,2356.59
23,2017-01-24,1000,560.02,9953.150000000001,1560.02
24,2017-01-25,1000,1124.95,8019.669999999996,2124.95
25,2017-01-26,1000,937.58,9651.989999999998,1937.58
26,2017-01-27,1000,687.86,9785.979999999998,1687.8600000000001
27,2017-01-28,1000,993.69,4506.53,1993.69
28,2017-01-29,700,836.13,4556.619999999999,1536.13
29,2017-01-30,700,981.86,9006.779999999995,1681.8600000000001
30,2017-01-31,700,1380.14,13775.869999999999,2080.1400000000003
31,2017-02-01,700,692.67,9664.739999999998,1392.67
32,2017-02-02,700,770.87,7046.589999999998,1470.87
33,2017-02-03,700,2091.61,8239.949999999999,2791.61
34,2017-02-04,700,2216.98,4004.069999999999,2916.98
35,2017-02-05,3000,2486.46,2405.45,5486.46
